,method,dataset,n_shots,n_ways,train,train_unc,val,val_unc,test,test_unc
0,maml,tabula_muris,1,5,89.69,0.82,73.64,1.1,68.63,1.11
1,maml,tabula_muris,1,20,8.67,0.18,7.67,0.21,7.14,0.18
2,maml,tabula_muris,5,5,95.34,0.48,85.49,0.75,86.19,0.66
3,maml,tabula_muris,5,20,7.93,0.22,8.28,0.2,7.6,0.19
4,maml,tabula_muris,10,5,96.59,0.35,88.54,0.67,88.93,0.63
5,maml,tabula_muris,10,20,9.27,0.29,6.58,0.21,6.79,0.24
6,maml,swissprot,1,5,92.25,0.68,48.47,1.01,49.05,1.08
7,maml,swissprot,1,20,,,,,,
8,maml,swissprot,5,5,94.83,0.5,53.15,0.91,43.5,0.64
9,maml,swissprot,5,20,,,,,,
10,maml,swissprot,10,5,97.37,0.37,52.3,0.81,46.33,0.52
11,maml,swissprot,10,20,,,,,,
12,protonet,tabula_muris,1,5,94.19,0.63,80.49,1.0,81.51,0.95
13,protonet,tabula_muris,1,20,86.74,0.43,57.67,0.47,61.63,0.47
14,protonet,tabula_muris,5,5,95.65,0.4,89.29,0.6,89.55,0.59
15,protonet,tabula_muris,5,20,89.87,0.3,71.16,0.39,71.59,0.37
16,protonet,tabula_muris,10,5,97.02,0.34,89.8,0.59,90.55,0.54
17,protonet,tabula_muris,10,20,96.47,0.18,74.45,0.34,75.62,0.33
18,protonet,swissprot,1,5,76.44,1.1,53.61,1.01,53.84,1.01
19,protonet,swissprot,1,20,85.19,0.48,37.05,0.34,39.89,0.47
20,protonet,swissprot,5,5,89.03,0.68,70.02,0.82,62.69,0.6
21,protonet,swissprot,5,20,86.2,0.4,57.89,0.31,56.01,0.41
22,protonet,swissprot,10,5,96.72,0.37,70.73,0.73,66.1,0.46
23,protonet,swissprot,10,20,91.8,0.29,58.96,0.3,60.97,0.4
24,matchingnet,tabula_muris,1,5,88.55,0.76,75.99,1.04,77.21,1.06
25,matchingnet,tabula_muris,1,20,90.74,0.37,52.49,0.49,52.05,0.45
26,matchingnet,tabula_muris,5,5,98.15,0.29,87.03,0.75,84.36,0.76
27,matchingnet,tabula_muris,5,20,91.28,0.31,65.23,0.44,60.23,0.41
28,matchingnet,tabula_muris,10,5,97.76,0.31,88.15,0.67,87.35,0.66
29,matchingnet,tabula_muris,10,20,96.27,0.18,69.13,0.34,66.86,0.37
30,matchingnet,swissprot,1,5,88.93,0.77,56.1,1.03,52.47,0.88
31,matchingnet,swissprot,1,20,93.11,0.33,38.51,0.31,40.73,0.46
32,matchingnet,swissprot,5,5,96.68,0.4,68.48,0.82,61.68,0.64
33,matchingnet,swissprot,5,20,31.58,0.55,39.07,0.36,37.29,0.46
34,matchingnet,swissprot,10,5,97.44,0.3,72.66,0.69,65.83,0.53
35,matchingnet,swissprot,10,20,39.71,0.43,41.29,0.28,41.24,0.41
36,baseline,tabula_muris,1,5,96.59,0.4,79.58,0.97,78.45,0.96
37,baseline,tabula_muris,1,20,87.13,0.43,57.67,0.47,58.0,0.46
38,baseline,tabula_muris,5,5,99.18,0.14,88.4,0.64,89.75,0.58
39,baseline,tabula_muris,5,20,95.19,0.18,71.17,0.38,74.05,0.35
40,baseline,tabula_muris,10,5,99.56,0.09,90.41,0.57,92.0,0.5
41,baseline,tabula_muris,10,20,94.15,0.2,75.47,0.35,77.74,0.32
42,baseline,swissprot,1,5,77.93,0.92,56.56,1.02,52.36,0.89
43,baseline,swissprot,1,20,,,,,,
44,baseline,swissprot,5,5,95.44,0.28,72.97,0.78,65.37,0.62
45,baseline,swissprot,5,20,,,,,,
46,baseline,swissprot,10,5,98.84,0.14,79.44,0.7,70.35,0.46
47,baseline,swissprot,10,20,,,,,,
48,baseline_pp,tabula_muris,1,5,99.32,0.17,73.98,1.04,67.87,0.98
49,baseline_pp,tabula_muris,1,20,91.35,0.38,43.6,0.46,39.26,0.44
50,baseline_pp,tabula_muris,5,5,97.96,0.27,85.65,0.73,81.63,0.74
51,baseline_pp,tabula_muris,5,20,97.62,0.12,61.17,0.38,60.88,0.37
52,baseline_pp,tabula_muris,10,5,99.08,0.14,87.02,0.66,86.49,0.65
53,baseline_pp,tabula_muris,10,20,,,,,,
54,baseline_pp,swissprot,1,5,76.11,0.99,55.47,1.01,54.41,0.99
55,baseline_pp,swissprot,1,20,,,,,,
56,baseline_pp,swissprot,5,5,96.52,0.26,69.05,0.8,59.79,0.63
57,baseline_pp,swissprot,5,20,,,,,,
58,baseline_pp,swissprot,10,5,99.74,0.05,75.33,0.7,65.1,0.49
59,baseline_pp,swissprot,10,20,,,,,,
60,relationnet,tabula_muris,1,5,84.22,0.93,73.89,1.08,69.38,1.06
61,relationnet,tabula_muris,1,20,74.75,0.52,43.59,0.44,47.92,0.45
62,relationnet,tabula_muris,5,5,94.04,0.65,81.07,0.91,82.13,0.9
63,relationnet,tabula_muris,5,20,86.11,0.45,53.44,0.41,54.76,0.4
64,relationnet,tabula_muris,10,5,92.55,0.65,82.7,0.84,77.8,0.84
65,relationnet,tabula_muris,10,20,87.45,0.42,54.92,0.4,52.38,0.4
66,relationnet,swissprot,1,5,73.34,1.13,49.42,1.02,47.53,0.94
67,relationnet,swissprot,1,20,68.37,0.62,28.59,0.31,35.5,0.43
68,relationnet,swissprot,5,5,67.29,0.99,47.89,0.97,43.71,0.65
69,relationnet,swissprot,5,20,84.75,0.45,35.72,0.3,30.52,0.41
70,relationnet,swissprot,10,5,79.62,0.85,49.63,0.84,44.05,0.52
71,relationnet,swissprot,10,20,90.05,0.35,31.94,0.32,40.37,0.38
